q0,q1,q2,q3,timestamp
0.5011645408960896,0.47558739140431927,0.5019716260186465,0.5202645699620939,2025-12-11T15:32:38.889+00:00
0.5034797050706922,0.47279891347193626,0.4999646226198997,0.5224985647159489,2025-12-11T15:32:39.694+00:00
0.5001340124065256,0.47793844341051783,0.5007650059525306,0.5202645699620939,2025-12-11T15:32:39.785+00:00
0.5040937432937901,0.4750339128653939,0.49955686046936154,0.5202645699620939,2025-12-11T15:32:43.512+00:00
0.5020296772398745,0.4780764006388049,0.5018268438266152,0.5172803660856365,2025-12-11T15:32:44.113+00:00
0.5035312448912285,0.47616582780434796,0.49982225064678304,0.5195191118795094,2025-12-11T15:32:44.58+00:00
0.5037982209690894,0.4764182945309084,0.5000872601878178,0.5187732581605216,2025-12-11T15:32:44.761+00:00
0.5040342490902007,0.4716669081209024,0.4996970664148802,0.5232424345789518,2025-12-11T15:32:40.358+00:00
0.5035569910264249,0.4745281031163186,0.49902493901407285,0.5217542969475597,2025-12-11T15:32:40.882+00:00
0.5020179270046501,0.4730777625514131,0.5011693141195658,0.5224985647159489,2025-12-11T15:32:42.188+00:00
0.5031905908730909,0.47418282507859594,0.5004985925920457,0.5210096318405762,2025-12-11T15:32:43.334+00:00
0.5034584371732865,0.47443523066331333,0.5007650059525306,0.5202645699620939,2025-12-11T15:32:43.418+00:00
0.5040648133826893,0.4766703984442129,0.5003518888906496,0.5180270093731302,2025-12-11T15:32:43.795+00:00
0.5055307712045425,0.476388099463468,0.4991402965247913,0.5180270093731302,2025-12-11T15:32:44.493+00:00
0.5067618756234857,0.47922088341919417,0.4974983954142771,0.5157858982850475,2025-12-11T15:32:45.463+00:00
0.5081371470851679,0.47054015743680966,0.49580981266631297,0.5239859059700791,2025-12-11T15:32:47.778+00:00
0.5091251511957422,0.4731082860874185,0.4939183939934929,0.5224985647159489,2025-12-11T15:32:48.187+00:00
0.5008979149779266,0.4753343728554147,0.5017045707209199,0.5210096318405762,2025-12-11T15:32:38.71+00:00
0.5019938337437183,0.47471197035427454,0.5019716260186465,0.5202645699620939,2025-12-11T15:32:39.407+00:00
0.5014802348379036,0.4725710670859672,0.5006325308695659,0.5239859059700791,2025-12-11T15:32:40.091+00:00
0.5042180865956281,0.470190972453889,0.5009011132235597,0.5232424345789518,2025-12-11T15:32:40.697+00:00
0.5023847535807234,0.4734234424295971,0.4996970664148802,0.5232424345789518,2025-12-11T15:32:40.974+00:00
0.4996215567172601,0.48079656704138435,0.5000872601878178,0.5187732581605216,2025-12-11T15:32:41.765+00:00
0.5029223613713708,0.47393005838302965,0.5002317980801101,0.5217542969475597,2025-12-11T15:32:42.101+00:00
0.5011122619504295,0.47222430697856516,0.5021036342005796,0.5232424345789518,2025-12-11T15:32:42.367+00:00
0.5037487589513526,0.4730515718833092,0.5002317980801101,0.5217542969475597,2025-12-11T15:32:42.957+00:00
0.5034978680509917,0.477801636196875,0.5006161365537521,0.5172803660856365,2025-12-11T15:32:44.006+00:00
0.5037259000679813,0.4746872749449642,0.5010310379586798,0.5195191118795094,2025-12-11T15:32:44.217+00:00
0.5041308894519131,0.47840235107632156,0.4994039043173178,0.5172803660856365,2025-12-11T15:32:44.846+00:00
0.5052634034675644,0.47613614485391303,0.4988763086152157,0.5187732581605216,2025-12-11T15:32:45.084+00:00
0.5047958358470469,0.47736169202413686,0.4974001120740327,0.5195191118795094,2025-12-11T15:32:46.153+00:00
0.5019938337437183,0.47471197035427454,0.5019716260186465,0.5202645699620939,2025-12-11T15:32:39.501+00:00
0.5022861997275848,0.4733305699765918,0.501437133353338,0.5217542969475597,2025-12-11T15:32:39.994+00:00
0.5025737419430747,0.4719481574671375,0.5009011132235597,0.5232424345789518,2025-12-11T15:32:40.177+00:00
0.5032102677683343,0.4725458950036234,0.4996970664148802,0.5232424345789518,2025-12-11T15:32:40.266+00:00
0.5046534407089959,0.473901124601609,0.4992910898576596,0.5210096318405762,2025-12-11T15:32:41.053+00:00
0.5019356851910384,0.4713489822947165,0.5021036342005796,0.5232424345789518,2025-12-11T15:32:42.462+00:00
0.5029223613713708,0.47393005838302965,0.5002317980801101,0.5217542969475597,2025-12-11T15:32:42.555+00:00
0.5031115519723753,0.4724531947009063,0.501437133353338,0.5217542969475597,2025-12-11T15:32:42.85+00:00
0.5044564288885579,0.48038736500215773,0.49871494666750626,0.5157858982850475,2025-12-11T15:32:45.355+00:00
0.5075573329158432,0.47496375165502935,0.49766383737886016,0.5187732581605216,2025-12-11T15:32:46.318+00:00
0.5105019106410247,0.4677888151158279,0.49755067435806605,0.5224985647159489,2025-12-11T15:32:47.088+00:00
0.5085935930662745,0.4693166599861333,0.4972844099781214,0.5232424345789518,2025-12-11T15:32:47.504+00:00
0.5102226166553422,0.47247132343305404,0.49418233841726045,0.5217542969475597,2025-12-11T15:32:48.392+00:00
0.5031905908730909,0.47418282507859594,0.5004985925920457,0.5210096318405762,2025-12-11T15:32:43.047+00:00
0.5029223613713708,0.47393005838302965,0.5002317980801101,0.5217542969475597,2025-12-11T15:32:43.143+00:00
0.5033040289925037,0.4826512108688263,0.4992382233528135,0.5142898593111621,2025-12-11T15:32:45.9+00:00
0.5115793421118597,0.4737276649809419,0.49549641140580647,0.5180270093731302,2025-12-11T15:32:49.526+00:00
0.5115793421118597,0.4737276649809419,0.49549641140580647,0.5180270093731302,2025-12-11T15:32:49.619+00:00
0.5102111057733856,0.4741174173546344,0.49497191283788655,0.5195191118795094,2025-12-11T15:32:50.398+00:00
0.5118629760266012,0.4723335597506496,0.49497191283788655,0.5195191118795094,2025-12-11T15:32:51.592+00:00
0.5040648133826893,0.4766703984442129,0.5003518888906496,0.5180270093731302,2025-12-11T15:32:44.299+00:00
0.5044316199879453,0.47701727020759976,0.4988763086152157,0.5187732581605216,2025-12-11T15:32:46.072+00:00
0.5131161341437497,0.47515075000588286,0.49331999808697213,0.5172803660856365,2025-12-11T15:32:49.892+00:00
0.5119242394922872,0.4757093594452668,0.4948004633449356,0.5165333288666419,2025-12-11T15:32:50.001+00:00
0.5122860585413207,0.4760455824540104,0.49331999808697213,0.5172803660856365,2025-12-11T15:32:50.302+00:00
0.5121141639726827,0.4742229154542361,0.49053456874455054,0.5217542969475597,2025-12-11T15:32:51.318+00:00
