fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,17.0,1.0,1.0,412.0,412.0,1378.0,1666.5,288.5,237.5,17,24.047000000000025,71.71599999999899,213.45299999999997,0.2511095099359907,0.10125052631578958,0.14431244992693518,0.2511095099359907,0.10125052631578958,0.14431244992693518,events_evaluation_plot.png,7.97799999999999,0.15300000000002,47.41799999999989,-5.428666666666671,0.01700000000005275,18.74700000000007,
0 - 412,,,,,,,,,,17,24.047000000000025,71.71599999999899,213.45299999999997,0.2511095099359907,0.10125052631578958,0.14431244992693518,,,,,,,,,,,412.0
