fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,9.0,1.0,1.0,eID_1,eID_1,5.0,161.265,156.265,42.73499999999996,9,44.700999999999965,0.03399999999999892,0.03399999999999892,0.9992399687045938,0.9992399687045938,0.9992399687045938,0.9992399687045938,0.9992399687045938,0.9992399687045938,events_evaluation_plot.png,0.0,0.0,0.0,0.0,0.0,0.0,
0 - eID_1,,,,,,,,,,9,44.700999999999965,0.03399999999999892,0.03399999999999892,0.9992399687045938,0.9992399687045938,0.9992399687045938,,,,,,,,,,,eID_1
