fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,341.0,1.0,1.0,412.0,412.0,53.733,1656.183,1602.45,189.90000000000174,341,35.53100000000003,974.9580000000001,154.3690000000017,0.03516218385356003,0.1871037388098984,0.05919914294449544,0.03516218385356003,0.1871037388098984,0.05919914294449544,events_evaluation_plot.png,-2.0528000000000084,0.0,14.432999999999993,10.678485714285706,0.03300000000001546,40.33300000000003,
0 - 412,,,,,,,,,,341,35.53100000000003,974.9580000000001,154.3690000000017,0.03516218385356003,0.1871037388098984,0.05919914294449544,,,,,,,,,,,412.0
