fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,74.0,1.0,1.0,eID_1,eID_1,10.1,1661.217,1651.1170000000002,1272.4200000000008,74,1273.4200000000008,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,events_evaluation_plot.png,0.0,0.0,0.0,0.0,0.0,0.0,
0 - eID_1,,,,,,,,,,74,1273.4200000000008,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,eID_1
