fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,4.0,1.0,1.0,eID_1,eID_1,908.458,1618.517,710.0590000000001,10.70000000000016,4,5.443000000000097,16.056999999999903,5.257000000000062,0.25316279069767894,0.5086915887850483,0.338074534161495,0.25316279069767894,0.5086915887850483,0.338074534161495,events_evaluation_plot.png,-0.962999999999937,0.20500000000015461,1.7649999999999864,-1.2629999999999768,0.5650000000000546,2.227999999999838,
0 - eID_1,,,,,,,,,,4,5.443000000000097,16.056999999999903,5.257000000000062,0.25316279069767894,0.5086915887850483,0.338074534161495,,,,,,,,,,,eID_1
